"source_file","job_id","num_qubits","physical_qubits","backend","status","folder","experiment_json","calibration_csv","expectation_value","estimated_fidelity","shots","utc_execution_time"
"w_state_1780694497.9365542_3_[24, 23, 22, 21, 36, 41, 40].json","d8hjrodv8cos73f4ica0","3","[24, 23, 22, 21, 36, 41, 40]","ibm_quebec","ok","w_state_n_3_d8hjrodv8cos73f4ica0_24_23_22_21_36_41_40","3_w_state_2026-06-05T21_58_28Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T21_23_45Z.csv","0.013273649919001457","0,9867263500809985","16384","2026-06-05T21:58:28.714207Z"
"w_state_1780694498.356647_3_[68, 69, 70, 71, 72, 73, 79].json","d8hjro9e8nrc73bhb0lg","3","[68, 69, 70, 71, 72, 73, 79]","ibm_quebec","ok","w_state_n_3_d8hjro9e8nrc73bhb0lg_68_69_70_71_72_73_79","3_w_state_2026-06-05T21_58_31Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T21_23_45Z.csv","0.01910664797869549","0,9808933520213046","16384","2026-06-05T21:58:31.647114Z"
"w_state_1780694498.776348_3_[21, 22, 23, 24, 25, 37, 45].json","d8hjrolv8cos73f4icc0","3","[21, 22, 23, 24, 25, 37, 45]","ibm_quebec","ok","w_state_n_3_d8hjrolv8cos73f4icc0_21_22_23_24_25_37_45","3_w_state_2026-06-05T21_59_12Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T21_23_45Z.csv","0.03728092926540247","0,9627190707345975","16384","2026-06-05T21:59:12.019672Z"
"w_state_1780694499.1694586_3_[68, 69, 70, 71, 72, 73, 74].json","d8hjrom6983c73dr5k1g","3","[68, 69, 70, 71, 72, 73, 74]","ibm_quebec","ok","w_state_n_3_d8hjrom6983c73dr5k1g_68_69_70_71_72_73_74","3_w_state_2026-06-05T21_59_25Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T21_23_45Z.csv","0.01868328369042324","0,9813167163095767","16384","2026-06-05T21:59:25.391652Z"
"w_state_1780694499.5929475_3_[50, 51, 58, 71, 72, 73, 79].json","d8hjrolv8cos73f4icd0","3","[50, 51, 58, 71, 72, 73, 79]","ibm_quebec","ok","w_state_n_3_d8hjrolv8cos73f4icd0_50_51_58_71_72_73_79","3_w_state_2026-06-05T21_59_38Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T21_23_45Z.csv","0.03776688067176573","0,9622331193282343","16384","2026-06-05T21:59:38.839034Z"
"w_state_1780694500.0341058_3_[50, 51, 58, 71, 72, 73, 74].json","d8hjrou6983c73dr5k30","3","[50, 51, 58, 71, 72, 73, 74]","ibm_quebec","ok","w_state_n_3_d8hjrou6983c73dr5k30_50_51_58_71_72_73_74","3_w_state_2026-06-05T21_59_43Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T21_23_45Z.csv","0.0335883247646325","0,9664116752353675","16384","2026-06-05T21:59:43.158026Z"
"w_state_1780694500.4482045_3_[70, 69, 68, 67, 66, 65, 77].json","d8hjros2upec739l6fmg","3","[70, 69, 68, 67, 66, 65, 77]","ibm_quebec","ok","w_state_n_3_d8hjros2upec739l6fmg_70_69_68_67_66_65_77","3_w_state_2026-06-05T22_00_35Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T21_23_45Z.csv","0.017076332978085695","0,9829236670219144","16384","2026-06-05T22:00:35.011407Z"
"w_state_1780694500.8443077_4_[36, 21, 22, 23, 24, 25, 37].json","d8hjrp42upec739l6fng","4","[36, 21, 22, 23, 24, 25, 37]","ibm_quebec","ok","w_state_n_4_d8hjrp42upec739l6fng_36_21_22_23_24_25_37","4_w_state_2026-06-05T22_00_47Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T21_23_45Z.csv","0.07183222311805304","0,928167776881947","16384","2026-06-05T22:00:47.234057Z"
"w_state_1780694501.23641_4_[25, 24, 23, 22, 21, 36, 41].json","d8hjrp42upec739l6fog","4","[25, 24, 23, 22, 21, 36, 41]","ibm_quebec","ok","w_state_n_4_d8hjrp42upec739l6fog_25_24_23_22_21_36_41","4_w_state_2026-06-05T22_00_59Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T21_23_45Z.csv","0.052273060612448186","0,9477269393875518","16384","2026-06-05T22:00:59.795158Z"
"w_state_1780694501.6566823_4_[20, 21, 22, 23, 24, 25, 37].json","d8hjrp5v8cos73f4ice0","4","[20, 21, 22, 23, 24, 25, 37]","ibm_quebec","ok","w_state_n_4_d8hjrp5v8cos73f4ice0_20_21_22_23_24_25_37","4_w_state_2026-06-05T22_01_14Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T21_23_45Z.csv","0.10200710255294315","0,8979928974470568","16384","2026-06-05T22:01:14.107762Z"
"w_state_1780694502.091507_4_[24, 23, 22, 21, 36, 41, 40].json","d8hjrpc2upec739l6fp0","4","[24, 23, 22, 21, 36, 41, 40]","ibm_quebec","ok","w_state_n_4_d8hjrpc2upec739l6fp0_24_23_22_21_36_41_40","4_w_state_2026-06-05T22_02_22Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T21_23_45Z.csv","0.06925374953280111","0,9307462504671988","16384","2026-06-05T22:02:22.350499Z"
"w_state_1780694502.5013323_4_[68, 69, 70, 71, 72, 73, 79].json","d8hjrp9e8nrc73bhb0o0","4","[68, 69, 70, 71, 72, 73, 79]","ibm_quebec","ok","w_state_n_4_d8hjrp9e8nrc73bhb0o0_68_69_70_71_72_73_79","4_w_state_2026-06-05T22_02_41Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T21_23_45Z.csv","0.08547747702663322","0,9145225229733668","16384","2026-06-05T22:02:41.762727Z"
"w_state_1780694502.904746_4_[21, 22, 23, 24, 25, 37, 45].json","d8hjrphe8nrc73bhb0og","4","[21, 22, 23, 24, 25, 37, 45]","ibm_quebec","ok","w_state_n_4_d8hjrphe8nrc73bhb0og_21_22_23_24_25_37_45","4_w_state_2026-06-05T22_02_55Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T21_23_45Z.csv","0.08070809689589742","0,9192919031041026","16384","2026-06-05T22:02:55.023652Z"
"w_state_1780694503.3373606_4_[68, 69, 70, 71, 72, 73, 74].json","d8hjrpk2upec739l6fqg","4","[68, 69, 70, 71, 72, 73, 74]","ibm_quebec","ok","w_state_n_4_d8hjrpk2upec739l6fqg_68_69_70_71_72_73_74","4_w_state_2026-06-05T22_03_08Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T21_23_45Z.csv","0.08167545967656942","0,9183245403234306","16384","2026-06-05T22:03:08.487603Z"
"w_state_1780694503.737465_4_[50, 51, 58, 71, 72, 73, 79].json","d8hjrps2upec739l6fr0","4","[50, 51, 58, 71, 72, 73, 79]","ibm_quebec","ok","w_state_n_4_d8hjrps2upec739l6fr0_50_51_58_71_72_73_79","4_w_state_2026-06-05T22_03_15Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T21_23_45Z.csv","0.13208039670805066","0,8679196032919494","16384","2026-06-05T22:03:15.288844Z"
"w_state_1780694504.2350807_4_[50, 51, 58, 71, 72, 73, 74].json","d8hjrpu6983c73dr5k6g","4","[50, 51, 58, 71, 72, 73, 74]","ibm_quebec","ok","w_state_n_4_d8hjrpu6983c73dr5k6g_50_51_58_71_72_73_74","4_w_state_2026-06-05T22_04_29Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T21_23_45Z.csv","0.12778790576763077","0,8722120942323692","16384","2026-06-05T22:04:29.242610Z"
"w_state_1780694504.7177076_4_[70, 69, 68, 67, 66, 65, 77].json","d8hjrps2upec739l6fs0","4","[70, 69, 68, 67, 66, 65, 77]","ibm_quebec","ok","w_state_n_4_d8hjrps2upec739l6fs0_70_69_68_67_66_65_77","4_w_state_2026-06-05T22_04_41Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T21_23_45Z.csv","0.07542477890291832","0,9245752210970817","16384","2026-06-05T22:04:41.190409Z"
"w_state_1780694505.146371_5_[36, 21, 22, 23, 24, 25, 37].json","d8hjrq5v8cos73f4icg0","5","[36, 21, 22, 23, 24, 25, 37]","ibm_quebec","ok","w_state_n_5_d8hjrq5v8cos73f4icg0_36_21_22_23_24_25_37","5_w_state_2026-06-05T22_04_54Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T21_23_45Z.csv","0.11292578602463088","0,8870742139753691","16384","2026-06-05T22:04:54.471751Z"
"w_state_1780694505.5510888_5_[25, 24, 23, 22, 21, 36, 41].json","d8hjrq42upec739l6ft0","5","[25, 24, 23, 22, 21, 36, 41]","ibm_quebec","ok","w_state_n_5_d8hjrq42upec739l6ft0_25_24_23_22_21_36_41","5_w_state_2026-06-05T22_05_07Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T21_23_45Z.csv","0.1024565540561082","0,8975434459438918","16384","2026-06-05T22:05:07.991789Z"
"w_state_1780694505.9757693_5_[20, 21, 22, 23, 24, 25, 37].json","d8hjrqc2upec739l6ftg","5","[20, 21, 22, 23, 24, 25, 37]","ibm_quebec","ok","w_state_n_5_d8hjrqc2upec739l6ftg_20_21_22_23_24_25_37","5_w_state_2026-06-05T22_05_21Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T21_23_45Z.csv","0.13702197428214935","0,8629780257178506","16384","2026-06-05T22:05:21.376277Z"
"w_state_1780694506.3948765_5_[24, 23, 22, 21, 36, 41, 40].json","d8hjrq9e8nrc73bhb0qg","5","[24, 23, 22, 21, 36, 41, 40]","ibm_quebec","ok","w_state_n_5_d8hjrq9e8nrc73bhb0qg_24_23_22_21_36_41_40","5_w_state_2026-06-05T22_06_21Z_16384_no_correction.json","ibm_quebec_calibrations_2026-06-05T21_23_45Z.csv","0.08152928082055022","0,9184707191794498","16384","2026-06-05T22:06:21.529301Z"
